,index,variable,value,iter
0,co2,Factor 0,0.018387714391732014,0
1,co,Factor 0,0.99974796085199,0
2,no2,Factor 0,0.021218580264623563,0
3,o3,Factor 0,0.053946101369442744,0
4,pm1,Factor 0,0.022455828200124605,0
5,pm25,Factor 0,0.01986626360209567,0
6,pm10,Factor 0,0.01940080985628832,0
7,co2,Factor 1,0.9006134645685969,0
8,co,Factor 1,0.00020464886478738388,0
9,no2,Factor 1,0.2325911301921274,0
10,o3,Factor 1,0.6051680261164597,0
11,pm1,Factor 1,0.711211015169514,0
12,pm25,Factor 1,0.7021861501112523,0
13,pm10,Factor 1,0.6851028353686472,0
14,co2,Factor 2,0.08101246325120041,0
15,co,Factor 2,4.6967317737418176e-05,0
16,no2,Factor 2,0.7469114743385625,0
17,o3,Factor 2,0.2486883215954215,0
18,pm1,Factor 2,0.2117601070235834,0
19,pm25,Factor 2,0.21314542868042485,0
20,pm10,Factor 2,0.2332152430180224,0
21,co2,Residual,-1.3642211529329984e-05,0
22,co,Residual,4.229654850806952e-07,0
23,no2,Residual,-0.0007211847953134676,0
24,o3,Residual,0.09219755091867599,0
25,pm1,Residual,0.054573049606778,0
26,pm25,Residual,0.0648021576062272,0
27,pm10,Residual,0.062281111757041985,0
0,co2,Factor 0,0.016361488304147485,1
1,co,Factor 0,0.9996362275184307,1
2,no2,Factor 0,0.021966820722308128,1
3,o3,Factor 0,0.04736343200895417,1
4,pm1,Factor 0,0.02623945552850764,1
5,pm25,Factor 0,0.023962321084845303,1
6,pm10,Factor 0,0.0260018610256702,1
7,co2,Factor 1,0.8787259295006418,1
8,co,Factor 1,0.00028727740682645393,1
9,no2,Factor 1,0.22117179820533822,1
10,o3,Factor 1,0.593494246038823,1
11,pm1,Factor 1,0.6944703441507789,1
12,pm25,Factor 1,0.6946721817435735,1
13,pm10,Factor 1,0.6950138207462042,1
14,co2,Factor 2,0.10492546504284336,1
15,co,Factor 2,7.602468375723177e-05,1
16,no2,Factor 2,0.7575086355850781,1
17,o3,Factor 2,0.26682205115185975,1
18,pm1,Factor 2,0.2248943741804463,1
19,pm25,Factor 2,0.21918435139704856,1
20,pm10,Factor 2,0.22142611656047054,1
21,co2,Residual,-1.2882847632678107e-05,1
22,co,Residual,4.703909856074162e-07,1
23,no2,Residual,-0.0006472545127245155,1
24,o3,Residual,0.09232027080036309,1
25,pm1,Residual,0.05439582614026717,1
26,pm25,Residual,0.06218114577453271,1
27,pm10,Residual,0.05755820166765513,1
0,co2,Factor 0,0.020066233389215597,2
1,co,Factor 0,0.9997545520601172,2
2,no2,Factor 0,0.022462358705918894,2
3,o3,Factor 0,0.06329967525080837,2
4,pm1,Factor 0,0.022309467426470157,2
5,pm25,Factor 0,0.018782369623938647,2
6,pm10,Factor 0,0.01991835419027843,2
7,co2,Factor 1,0.897951075598938,2
8,co,Factor 1,0.00020307885267076197,2
9,no2,Factor 1,0.24451077647357988,2
10,o3,Factor 1,0.6029424519013531,2
11,pm1,Factor 1,0.6973320494643812,2
12,pm25,Factor 1,0.6820311912978007,2
13,pm10,Factor 1,0.6626728908625289,2
